monolingual,Sub-task B
libreals kya masla atankwadiyoon list mein nathuraam naam kyu liyahypocrisy seema hoti,1
sai kha,1
india nvyuvk isi 498me brbad rha,1
apka dekhne baad maine faminest sabse bade kathit thekedar lallantop देखा कसम ऐसा लगा hathi dekh kar कुत्ते bhaok rahe,1
samil चादर rss mai bjp mai sry dono,1
mujrim tum मुजरिम हमारा सविधान hamare देश प्रणाली,1
kya बैंड,1
पुष्कर धकार धकार lucky galti tumhari क्यों तुम पढ़ेलिखे अंध भक्त,1
sahi भोत कठिन,1
tujhe बड़े सिंह संदेश समझ आयातोह जोकर समझ गयी चिकित्सक हंइससे ज्यादा bkchodi,1
eminem vevo typical भारतीय mindset बोलने toh गाली गलोच zeher साले धरती भोज अनपढ़ गवर भूमि बाप अनपढ़ गवर कक्षा औलाद परास्त,1
<हत्तपःयौतुबेेट्ब1क्मवैभक> iss महँ बीवी क्र गलती देख लिया दर्द क्र mera,1
प्रभात कुमार आजा वें गली प्रदर्शन मुख्य अँधेरी नयी दिल्ली बाप औलाद तोह आजा,0
ranu जिओ,1
श्वेताभ yai मस्त लगता मार्ग प्रस्तुतीकरण,1
मनीष goplani आपको यूएसएस पसंद आया,1
देखा चलिए सिखने मिलेगा,1
shewtaab जोकर plssss,1
mrjonswat समलैंगिक परंतु ऊपर तुम जैसो सीमा बॉट हत्या ऊपर बॉट मतलब खाना पूछियो गंवार भारत तम्हारे देश आगे समझे याद रखना,1
बड़े रों 610,1
आवाज़ करती वही कहाँ लड़की करवाना चाहती हैऊँगली वाली सच्चा प्यार कहाँ बच्चा लगेगा,1
**बड़े सिंह भी** व्यावहारिक जिंदगी सम्बंधित है**,1
नरेशकुमार ravanaboina तेरी भोसड़ा,0
अजनबी चीज़ें full plz,1
हवस कहानियों आदि यौन देखता जगह पॉर्न देखता ऐसा न्यायाधीश,1
जिंदगी hae,1
ख़तम मतलब ख़तम चाचा ख़तम मांगता apun,1
बड़े सिंह चुटिया,1
तुझे औरत जन्म,0
"बंगाली दुर्गेशजौरेर गुप्त खज़ाना ""गुप्त खज़ाना खोज उपलब्ध प्रधान वीडियो",1
बोहोत अच्छा vai #loveyoubro httpwwwyoutubecomresultssearch_query=%23loveyoubro,1
nan,1
भाईजान संदेह बॉलीवुड निदेशक निर्माता इसको भूमिका प्रस्ताव तोह कभी kahega,1
बहन छोड़ घाव मंडल,0
रेवती रमन कुमार साधारण tho karr,1
ali खान तोह जवाब फिंगर,1
विषाक्त संबंध देखना तोह नाना पाटेकर देखो **agni साक्षी**,1
केसरी अंधाधुन भद्दे बतला मकान,1
लल्लनटॉप बिक kya🤔,1
मादरचोद,0
येन नारीवादी लाइन mey खड़ा करके गोली marney चाहिए,0
निकल lawdi,1
पाखंड seema तोड़ librandus नारीवादी,1
रोज rape बैठे जिस्म भूखे मेरे देश homosexual लोग अजब गजब कथा सुनने आता दिमाग उलझन जाता है🤔🤔🤔,1
kisi टिप्पणी kaha देखने aaya tha liberals नारीवादी kya kisa सुनने nhi,1
खाजदीप रण्डी अंदाती राय दोनों मां चुदेगी याद रखना कितनी बार इनके गाल पीट दिए बेशर्म है। लंद जीतेगी विचार पाक रखैल भोसडीके,0
gaaandu uneducated indian fool,1
issi tarah lage raho supported you,1
akdam sahi kaha,1
kya yaar sir apne bohot kharab kiya spoiler kyu diya yaaar,1
bina feminist liberal kahe koi sakta kya shame you,1
jai sree ram pratik bhaii,1
film chalta lekin kisi class mein jaa kar bolna white dress wali bandi jiska naam mujhe pataa meri bandi bilkul realistic tha,1
sadanand kamble mujhe bahut sukun milta,1
totally chudap thi kitno leli,0
kuch jawab brother jawab,1
भगत सिंह leftest नही थे। leftist जान देता। उसका काम सिर्फ़ लगाना है। leftestest धारा उल्टे चलते हैं। विचारों मर्द औरतें। लोग third gender हैं। मौका देख पाला बदलते हैं।,0
प्रतिक आपने achhe तरीके समझाना kiya but मुसीबत iss इनकी problem iss मारो,1
थोड़े छोटे video बनाया karo प्रतीक sir,1
aapse dosti होगी,1
लंबा मस्ती happy new साल घुटना टेककर veere wedding judwaa2 प्रदर्शन ग्रेड 200 करोड़ ज्यादा पसंद सकती बड़े सिंह अच्छा फूल युद्ध aake सराय चुटिया पीछे,1
महोदय आदमी असली जिंदगी releate करती ladka प्रेम लड़की chood तोह लोग समझते परंतु उल्टा jaye तोह लोग ऐसा गलत khetay लड़के पूछो mat लड़का वही मंच वेतन गलत लड़की क्यु लड़की लड़का कैसे गलत फूल,1
yaar yeh भारतीय गांडू सेना चाहिए संख्या one गांडू army विश्व।,1
गलती तुम्हारी जन्म जाट चमचे कांग्रेस चमचगिरी तथा उधर पकिस्तानिओ चमचगिरी करनी,1
आपके,1
तुम एनिमे देखो उसकी कहानी देखो,1
गुटखा बतिया एंकर गुरु,1
nripen वंश karoge,1
गेंद वाला जिला बग़ैर,1
शुरुआत देगी स्त्रीलिंग,1
0357 httpswwwyoutubecomwatchv=zzsaudkxq1m&t=3m57s बेवकूफ आदमी कक्ष,1
राजदीप सरदेसाई छुपा संधी सौरव थोडे seclar लगते,1
फ़िल्म दिखाया कॉलेज बंदी पटाओ साल ठुकाई करो,0
अच्छी,1
rishita पांडेय तोह तुम कुत्ते बच्ची,0
भारत विंग दलों लोगो बोहोत अंधभक्ति इसलिए chutiya जनता लेख श्रेष्ठ एसीसी। उसको आलोचना,1
लड़की लड़के थप्पड़ बड़े tumhare हिसाब,1
बॉलीवूड वालो puchani पिक्चर हिंदी बनाते इंग्लिश अरे पिक्चर अधे ज्यादा इंग्लिश बेंचोट हमे नहीं। आती हिंदी बोलो बोलो हिंदी madarchot 375 बहोत achi पिचर परंतु भाषा केइसे समझें मिशन मंगल यार राहा गाओ rehte रांड बच्चे नहीं। समज आती इंग्लिश भेंचोट इतनी खाज अमेरिका ब्रीटेन करो मदारचोत सालो तुम्हारी माकी चूत याच्या परंतु रेव्हव देखो जरा,0
आकर्षित ali,1
उच्च न्यायपालिका भले homosexuals हमारे देश पनाह हमारा समाज ईसे जड़ स्वीकार लेता बदलाव उम्मीद नही सक्त,1
aggressive squad toh thik hain lekin naam haar video main atankbadi political charcha kyun karta hainaagar polytics kar discuss krna hain toh alag chanel banake waha yeah sab discuss karhar baat soch jab video dekhne jaata hoon toh wahi atankbad-india history yeah sab bol bol pakwa dete hodimak garam jata hain,1
garbage south india aai haiarjun reddy bollywood walo pura pura copy kar liya paise banaye baki sab chutiye launde aajkal kabir khan ban rahe laundiya sochti ladke uske peeche kabir khan tarah bhagte rahenge,1
physically mentally eligible deshbhagat army lover desh seva karna chaahta army join karkey usko jaati ling bina kisi bhedbhaav chance milna chaahiye thanks,1
chijo kabhi badhawa diya kro mere aane wali nasle barbad jaegi,1
one should cure this type मानसिक disability not बढ़ना प्रोवोकेशनहवा diye तथा rahe hainkal lakh jayengekyonki badhane बढ़ता haiajkal shauk chala haishaukiya समलैंगिक lesbian game chal rha,1
धन्यवाद god abhi skta hun,1
मादरचोद सुप्रीम कोर्ट homsexuality अनुमति karega आरक्षण quota 100 बढ़ाएगा ram मंदिर फैसला karega,0
पीला कमीज mera papa समुद्र डालता mai,1
भक्क तेरी,1
surab आना namaskar बार पुष्पेंद्र,1
कोडिंग वीडियो बना,1
indias ऊपर bagirath ganga लाये भूमि संघ पैदा hue,1
वही vii प्रसिद्ध करेगा यूट्यूब पैर,1
प्रतिबिंब रोशनी इसलिए,1
मैंने सुना बोले कम।,1
सामान्य युवक हैंिंह लोगो आज़ादी पर्व फायदा उठाया सऊदी अरब दुबई मलेशिया पढ़ने बिल्कुल,1
राजदीप दोहरा मानकों अरुंधति criticuse डरता देगा,1
देखि,1
एकदम,1
daddi ज्यादा बाएं काम,1
साडी मास्टरपीस,1
silly विवाद करनेवाला कक्ष भोसड़ी मुख्य नारीवादी थोड़ी हूँ रक्षक कहाँ काम नारीवादी काम dangh चिंता खाना मुँह गिराऊंगा गांड झांट साफ़ रखना ऐसा तेरे गांड जाता फ़ोन लगा रखना ज्यादा दर्द होगा,0
_किस जोकर,1
हिन्दू kafirgandu,0
फैसला हमें hizdo फ़ौज चाहिए,0
प्रतिक भाईपिंक जगह हैऐसा यूएसएस दिखने कोशिश गयी haiwo पूरी गलत,1
ठीक,1
चार हत्या hone पत्ता चलता सच्चा झूठा इसलिए आदमी बकासुर मरना जाता bharat कानून,1
अबतक friendship बीवी,1
विध्वंस बचाया fraud लड़की,1
chasmis कुत्ता,1
awqaat मुख्य aahigiya अन्य main,1
देश मिनट लड़की बलात्कार uss देश फ़िल्म बनाना उचित एच।,1
समाज चाहता,1
अरुंधति रॉय नाम परिवर्तन कक्षाएं billa rakkh ration कार्ड आधार कार्ड पासपोर्ट प्रदर्शन आदि बनवा सकती kyunki भारत तोह रोहिंग्या बांग्लादेशियों documents बनवा hain फरक पढता,1
jay सियाराम,1
कहाँ लेखक नक्सली,1
समलैंगिकता वास्तव मानसिक विकार है। सेना फालतू नाटक चाहिए। पश्चिमी ढ़ोंग-ढकोसले-दिखावा हिन्दुस्तानियों हिजड़ों परिवर्तित है।,0
dono मादरचोद मेरे टिप्पणी ऊपर जवाब बाप gund मरवा फ़ोन lagake,0
लिंग तथा love are totally different things sometimes really feel for the लड़के and men's hamesha ladka galat nei hota,1
shayri whatsapp status natural gay hota alag baat par achha khasa ladka gay jate glt,1
tuje dusro success problem kya bekhud kuchh karke dekha nayesa bhokte rahega kya kutte jesa kutte jesa nhi kutta,1
garib bada sakta lekin vikari kabhi bada sakta bhikhari tha hay rahega kyunki past bhul gaya,1
jitna maza dekh kar aaya utna aap reviwe dekh kar,1
han thappad khana sahi sanaki konsa pyar jinme itni beizzati violence uske gharwalo kiti badtamizi bat but tum log bas pesa leke dene lge faltu defend most overrated all time,1
sahi kahaa,1
hindi karo,1
bhut hard,1
love you swetabh tere haar baat par reality hoti,1
aag laga apne community mein aaj vids day aaj jummafriday चुम्मा* shwetabh तरफ,1
अचल यादव तथा छूट बाल नफरत सलमान खान,0
रेलवे स्टेशन रहना चाहती घाव vikhari विखरीओं बेज्जती,1
faminist उदारवादी परंतु bhoxda,0
bola,1
शहीद खान gangs गैंग्स,1
काफिरों काम,1
maine साल बॉलीवुड देखि सिर्फ हॉलीवुड देखता है। abhi साल,1
झूठे केस लगाने वाली महिलाओं सजा होनी चाहिए कोर्ट जाकर पत्नी वैवाहिक जीवन खराब जाता कोर्ट चाहिए दाम्पत्य जीवन बचाया जाय। गलती करे सजा कानून दुरुपयोग वालों खिलाफ कानून बनाया जाय। विना अपराध किये गिरफ्तारी होनी चाहिए,1
तुम्हारी बीसी हवा रुख चला chutiye,0
"सेना वली विवाहित उसकी पत्नी पति मुसीबत देना गैर बकज़ सेना शिविर मिल सोचो सीमा फौजी ""बंकर""",1
विज्ञापन दिख जाये सहयोग मिल जायेगा इसलिए विज्ञापन आगे देखा करो,1
yarr मुख्य हमेशा तुम्हारे गेंद देखता reheta हूँ मस्त,1
अरुंधति रॉय नाम बताओ gandulog sry छोटा अरुंधति jheny रॉय ंडत्व मालिक चचेरा टीएम समझ जाओ आगे विस्तार अच्छे गूगल,0
आदित्य गुप्ता देश ज्यादा आजादी गलत फायदा उठाया राजा सराय हुंगॉ jho बाइक एलजीबीटी पढ़ने बिल्कुल दुबई अरब,0
यार timeliners टीएम लोगो वीडियो समूह महिला बड़ा जहाज़ बैठी हमें पूछते ज़रा,1
औरत जाट कुटिया जाट अनफेथफुल जाट,0
जागीर,1
देर तुम्हारी chutiye इंसान,1
फुद्दू,1
रही शायद,1
बकवास बंद,1
हमारे सनातन शादी आत्माओं मिलन आत्माओं अनुबंध पसंद इसलाम हमारे तलाक शब्द हमारे उत्पन्न वाली रिश्ता शादी स्वंवर कलियुग चीज़े बदल हमे लोगो दुनिया सीखना गलत राह पड़े लड़किया गर्भपात कानूनी चाहती लाइव रहना परंतु बच्चा चाहिए कोनसी अंधी दौड़ समझ आता मुसलमानो अनुबंध बोलते अनुबंध मतलब आपसी सहमति रों हां क्र आपसी सहमति तरफ khtm इनके शादी allowed तीन बार आदमी तलाक उसकी ज़िम्मेदारी हमारे शादी tootne प्रावधान इसलाम साडी negativity गंदगी इनकी कुरान pdh gnda feel बावजूद sardar दुनिया तबाह करदी,1
आलोचकों लाइन दिखा जाती,1
लोगों जेल,1
बोलना सीख,1
498 पैसे हां loog सोच हाथ हां लड़की साडी करदी पति लूट अस्तर,1
आखिर जनता उठाएगी निकम्मे कर्मचारियों बोझ <हत्तपःयौतुबेीूइ3ुलिसिय>,1
abe har bar bat हैसिर्फ,1
भोसड़ी aaj tera विश्लेषण rha,0
अरुंधति कुत्तिया सुगरिया पाली बदसूरत अकल बेहूदा औरत,0
जूते 498a मामला lagate सभीको vedio dekhana chahiye,1
shi sach main bro swetabh video main kaha tha duniya main sab kuch ignor kar sakte lekin koi nayi film aaye naye koi celebrity kids unke team wajah samne jate hain trailer dekhne jarurat nhi,1
lekin fim bhot boring cliched bilkul bekaar lagi,1
maine toh pura dekha voh zyada dekhta hoga isliye baaki sab cheez interest kam gaya,1
desh din pakka barbaad hoga reason bollywood,1
lok bohat fany,1
lgbtq community support karne wale emotional way not your fault most people are stupid chalte logics and arguments unki soch aukat bahar,0
sahi bola india aju baju jaise bangladesh main hta hain,1
vocabulary theek bhadwe,1
आपके फ़िल्म रिव्यु thequint व्वालो दिखाया है। <httpshindithequintcomvoicesopinionshahid-kapoor-kabir-singh-vijay- deverakonda-arjun-reddy-promotes-toxic-masculinity>,1
nii kam tabahi machi thi india aise laws paas rhe hoo iss country nii hone वला kiski inner consciousness usko aise काम रजी करेगी really disgusting,0
loogon असली प्रेम chyee logon सेवाएं thrkiii प्रेम chye मुख्य,1
देना chyea gay desh निकल देना chyea सके जान परंतु,0
बीवी भार thi,1
sabbas 200% truth,1
आपकी वीडियो कुत्ते नस्ल प्यार,1
नेटफ्लिक्स चुटिया धारावाहिक जिसमे जातिवाद सम्बंधित वीडियो,1
जाली जाली जाली जाली 11k नारीवादियों गांड जाली,0
wahi soch,1
छक्कों दुनिया कारन जोहर रिश्तेदार,0
अच्छा video,1
पुल terabithia देखा dekho,1
कक्षाएं मतलब राहुल गाँधीऔर बिल्ला मतलब khujliwal,1
0832 httpswwwyoutubecomwatchv=n_zmfqmzos0&t=8m32s लगे हाथ टपरवेयर पदोन्नति करदिया,1
भावेश सनादिया ऊपर मतलब,1
शानदार चन्दू भैया शानदार एक्टिंग,1
शेयर भोस्डिके तुम्हारी gyaan बांटने वाला फालतू पीछे पीछे सामग्री फूल जूता कहाँ बार तुम दिखा देता भोस्डिके,0
पहचान पहली बार मुश्किल लकिन चुनते निकल,1
मुठ समुद्र बाकि लोगो बना लेते 1000 समलैंगिक पुरे विशाल संख्या बना देंगे,0
इसलिए बुलाया उदार समझ aayegi,1
इसको कॉलेज केस स्टडी बनाया जाये,1
लड़कीओ लाल देख करतुझे यार तेरा देश लड़की समझफिर,1
वीडियो shidhe सेना शामिल चाही थोड़ा निचे स्तरों शामिल शुरू चाहिए पुलिस खेत काम देखने सेना शामिल करनेका सोचना चाहिए क्ष लेख बिच अधिकार,1
इतनी औकात bani,1
ठीक sirbut एप्लिकेशन jyada विषय बारे हैंये एप्लिकेशन आपके चैनल क्र हेन एप्लिकेशन फ़िल्म पहलुओं कीजिये,1
नमस्कार गुरु संविधान समानता अधिकार नागरिकों उपलब्ध कराता मेरी नजर बड़ा कारण रहेगा समलैंगिक एंड गैयज समस्त प्रकार व्यक्तियों देश शामिल चाहिए इच्छा रही आर्मी वायु सेना नियम फोटो एंड पिक परिवर्तन संसद जाएगा रही हमारे सेना अध्यक्ष जनरल बिपिन रावत सांबा स्वीकार लेंगे क्योंकि संविधान संविधान अवहेलना सकती क्योंकि संविधान बढ़कर सुप्रीम कोर्ट निर्णय ऊपर निर्णय,1
sir dam ठीक बोलेये लोग flim samjhe,1
ऊपर मतलब,1
sach एकदम leke आपके मेरे विचारों वही एकदम,1
comment prke chala ज्यादा सरे समलैंगिक,1
सोच लगता है।,1
जिनका जिनका संबंध विच्छेद फूल logo agar yeh dekhli smj unn bndo loda lag gya,0
प्रतिक kabir singh kandhe per बन्दूक rakh apni dil bhadass निकल feminist liberals prati🤪,1
love love boss,1
thik bole bekar ranu,1
innova faridabad tomorrow mein kamini halkat,1
lagta aapki hindi kamjor video dobara dekhiye shayad bar aap samajh pao hamare video,1
phaaaaaad diyyyaaaaa puraa,1
pratik borade drink karna cigarette pina koi buri baat par ladki haat uthana hota hain buri baat woh bina wajay,1
dekhi nhi ringtone sahi bus वड़ा वड़ा वड़ा वड़ा वड़ा वड़ा वड़ा वड़ा -पाव,1
abhijit desai film dekh idhr dekhne kyun aaya,1
tera bap,1
chutiya kabir singh usse jyada bekar actor bina soche samjhe sign kar lete,1
pratek dil jeet liya aap neyr jbrdst thoka lib and feminist salon kojb ese zinda rhenge society kharab hoti rhegi,0
nikal lavde pehli fursat mei nikal bakwas chode jaaa rha chutiya,0
india youth bollywood बिगाड़ा,1
लोग kaise परिवर्तन जाते paise,1
बोलने अधिकार गाली parotest अधिकार पुलिस फोड़ो मादरचोदो अधिकारो इस्तेमाल करोगें,0
वीडियो देखते dekhte black out mujhe,1
light kay नेहरू ज़िम्मेदार ठहरा,1
अरे यार प्रतीक तुम वेब श्रृंखला बीच लाते हो। 0तीये लिबरल पसंद करता। श्रेष्ठ वीडियो 0तीओ बीच लाकर मजा खराब हो।,1
टेक तेरी स्थान कॉलेज हुंह चुम्मा देता बिना उसकी इजाज़त तोह teleco चलेगा,0
उदारवादी निकल लौड़े पहली फुर्सत निकल,0
जाट बिक्री गवर,1
समलैंगिक अनुमति चाहिए दुश्मन देश सेना हमारे देश समलैंगिक सेना पसंद कहाँ प्यार देश गद्देदारी क्र,0
भोत बेरोज़गार लगा लगा आके औचित्य साबित करोगे क्यूंकि तारीफ़ क्र,1
नारीवादी देख सोचता θάνος गलत अनुपस्थित आधे लोगो धूल करके सरे अनुपस्थित काम,1
nan,1
सौरभ अहंकार कारण इससे करवाते क्या। हमारा टाइम क्यों खराब करवाते हो।,1
लौंडे चीज़,1
तुम्हारी भाषा हिन्दी तुम्हारी भूमि नाडी,0
hhheee हैसीसीसी,1
गाली खाने पैदा आप।,0
समलैंगिक बहादुर,0
नारीवादी लोगो प्यार छोड़ दीखता,1
उत्तम,1
ज्यादा बकवास यार,1
समलैंगिक मतलब लिंग आये बोलने सोच लिया करो,1
चिंता खाना करिये त्रिमास इतना देश परंतु फ़ैलाने जरुरत पिछले लगातार बैठक कक्ष दुनिया बड़ी संस्थाओ विश्व बैंक भारत अर्थ व्यवस्था तेजी बढ़ने वाला भारत दुनिया बड़ी अर्थ व्यवस्था आधा देश विकास नयी ऊंचाइयों पहुँचाने लोकप्रिय प्रधानमंत्री मोदीजी प्रति आपके नफरत भरी हुयी उपयोग दिखने धन्यवाद्,1
किसीको समझ आये समझा देना बैंड लक्ष्य लक्ष्य बातें क्र मेरा मिनट ख़राब क्र हम्म,1
"ज़्यादा शुरू चरित्र बड़े सिंह दोस्त ""शिव"" बड़े उसकी स्थान शादी प्रस्ताव देता ईसा पूर्व पट्टी behen koi कैसे",0
सफेद जिम शामिल ऐसा kuj बनना,1
बोहत कठिन,1
स्पॉइलर batate,1
बड़े singh फाड़ उदारवादी उल्लू बनाना नारीवादी,1
छिछोरे गांड परंतु ज़रूरत,0
ाचा लगा समलैंगिक समलैंगिक पाप nehi समलैंगिक होक शादी larki जिंदगी बर्बाद काना पाप lesbian होक शादी लड़का जिंदगी बर्बाद पाप जिंदगी tarike खुल जिओ घुट घुट नेही,1
झंड,1
मेरे पिता rha bhosri,0
प्रतीक अकेले भारत फिल्म देने जिसके वीडियो लोगों सिर्फ फिल्म रिव्यु बल्कि जीवन सीखने मिलता आपको शुभकामनाएं देता हूँ,1
hahahahhahahaaa ullu pattho waali industry bollywood kya sach mast baat kardi bro,1
galti tune ispe video bahut phle ban tha,1
sir meri family wife husband suside kerne dhamki laks vasulne dhamki 498a fasane dhamki deti sir meri request ager 498a missuse other dowery case missuse hone per misuse kerne wale 1month year jail lakh jurmana hona chahiye vakil instructions diye jaye next time esa hone per usko jurmana dena hoag,1
meri jindegi thodi sudhar ayi sirf swetabh wajah,1
feminists logo koi sunraha bas bhokti rahengi,1
dba homosex kijiye desh sava kijiye,1
bohot der bakta hain yaar tuwarna achcha lgta videoitni der kaun dekhega,1
agar itna weak mind jawano सेना hona chahiye,1
abe chutiye ladki thappad कैसे maara,1
aggressive दस्ता dekh चूका hun usko,1
